City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,rockdale,33.6501,-84.0166,300.0,51,75,2.57,US,1712093399
218,kenai,60.5544,-151.2583,271.2,68,100,2.57,US,1712093399
219,taroa,8.7058,171.2275,300.35,72,100,7.64,MH,1712093400
220,dalbandin,28.8947,64.4101,292.92,21,39,2.69,PK,1712093400
221,coronel suarez,-37.4547,-61.9334,290.79,51,92,7.52,AR,1712093401
222,olinda,-8.0089,-34.8553,303.0,79,40,3.6,BR,1712093128
223,petropavlovsk-kamchatsky,53.0452,158.6483,272.48,82,75,6.26,RU,1712093404
224,udachny,66.4167,112.4,262.64,87,100,7.05,RU,1712093405
225,cambria,35.5641,-121.0808,298.84,74,0,2.68,US,1712093363
226,sokoni,-6.4333,39.55,299.87,87,100,5.84,TZ,1712093406
227,salalah,17.0151,54.0924,301.2,51,0,1.54,OM,1712093408
228,shalkar,47.8288,59.6258,281.75,72,67,2.04,KZ,1712093408
229,linxia chengguanzhen,35.6003,103.2064,279.9,65,100,2.07,CN,1712093409
230,yarmouth,41.7057,-70.2286,281.46,75,100,3.6,US,1712093409
231,callao,-12.0667,-77.15,298.31,65,0,7.2,PE,1712093212
232,iwaki,37.05,140.8833,278.49,70,100,2.05,JP,1712093410
233,hatillo,18.4863,-66.8254,300.99,78,50,5.36,PR,1712093411
234,masinloc,15.5333,120.05,291.16,75,36,2.01,PH,1712093411
235,hasaki,35.7333,140.8333,284.42,73,100,2.97,JP,1712093412
236,priozersk,61.0393,30.1291,273.76,84,100,7.94,RU,1712093412
237,mpika,-11.8343,31.4529,289.72,96,17,2.07,ZM,1712093413
238,cankuzo,-3.1333,30.5833,288.23,96,18,0.89,BI,1712093413
239,nago,26.5881,127.9761,298.4,94,69,6.55,JP,1712093414
240,grand baie,-20.0182,57.5802,299.41,78,100,2.68,MU,1712093414
241,badger,64.8,-147.5333,262.59,62,75,3.6,US,1712093415
242,oranjemund,-28.55,16.4333,288.77,88,19,3.63,NA,1712093415
243,alice springs,-23.7,133.8833,289.38,53,0,2.57,AU,1712093415
244,nikolayevsk-on-amure,53.1406,140.73,264.16,98,98,1.63,RU,1712093259
245,kodinsk,58.6881,99.1844,266.73,98,99,1.73,RU,1712093416
246,inyati,-19.6756,28.8469,290.68,59,30,3.63,ZW,1712093417
247,mitsamiouli,-11.3847,43.2844,301.35,78,100,3.51,KM,1712093417
248,tralee,52.2704,-9.7026,280.75,96,100,1.64,IE,1712093418
249,happy valley-goose bay,53.3168,-60.3315,275.32,75,75,7.2,CA,1712093174
250,salinas,36.6777,-121.6555,298.5,60,0,5.66,US,1712093407
251,caleta de carquin,-11.0925,-77.6267,296.51,77,25,4.18,PE,1712093419
252,nyurba,63.2842,118.3319,259.28,99,99,2.43,RU,1712093420
253,ancud,-41.8697,-73.8203,283.91,79,59,7.19,CL,1712093420
254,dhangadhi,28.7079,80.5961,294.3,24,100,1.3,NP,1712093421
255,cabo san lucas,22.8909,-109.9124,299.6,53,0,5.14,MX,1712093211
256,buritama,-21.0661,-50.1472,299.48,72,97,1.49,BR,1712093422
257,beloyarskiy,63.7119,66.6722,274.82,100,100,4.92,RU,1712093215
258,hilo,19.7297,-155.09,299.31,79,75,7.2,US,1712093423
259,sur,22.5667,59.5289,299.7,46,89,2.53,OM,1712093423
260,sarupathar,26.1984,93.8094,292.79,89,1,1.71,IN,1712093424
261,metlili chaamba,32.2667,3.6333,293.67,26,0,2.06,DZ,1712093424
262,sheringham,52.9408,1.2093,283.18,93,100,5.24,GB,1712093425
263,topchikha,52.8192,83.1185,278.35,95,98,1.65,RU,1712093425
264,newman,37.3138,-121.0208,298.18,45,0,1.79,US,1712093143
265,gyanpur,25.35,82.4667,298.9,19,100,2.75,IN,1712093426
266,mejit,10.2753,170.8646,299.98,73,100,8.22,MH,1712093427
267,codrington,-38.2667,141.9667,286.79,86,79,3.3,AU,1712093427
268,ushtobe,45.2514,77.9838,281.33,47,82,1.81,KZ,1712093428
269,alofi,-19.0595,-169.9187,303.09,70,40,7.2,NU,1712093428
270,khovd,48.0056,91.6419,273.37,43,5,0.11,MN,1712093429
271,yoro,15.1333,-87.1333,309.44,30,40,3.09,HN,1712093429
272,youhao,47.8667,128.8333,270.32,91,53,0.84,CN,1712093430
273,georgetown,5.4112,100.3354,302.11,88,20,1.54,MY,1712093231
274,sweet home,44.3976,-122.7362,297.33,52,2,1.34,US,1712093431
275,haiku-pauwela,20.9219,-156.3051,301.05,68,40,9.77,US,1712093431
276,cockburn town,21.4612,-71.1419,298.15,78,12,7.63,TC,1712093432
277,hadibu,12.65,54.0333,299.62,76,90,3.33,YE,1712093432
278,graaff-reinet,-32.2522,24.5308,290.23,60,73,1.24,ZA,1712093433
279,berezovyy,51.6667,135.7,270.65,75,24,0.92,RU,1712093434
280,rongelap,11.1635,166.8941,299.81,81,100,7.76,MH,1712093434
281,yakymivka,46.6897,35.1536,286.05,67,80,5.05,UA,1712093435
282,grand island,40.925,-98.342,287.12,28,0,14.4,US,1712093294
283,vega de alatorre,20.0333,-96.6333,301.63,71,56,6.34,MX,1712093435
284,alto barinas,8.5931,-70.2261,306.08,44,100,1.89,VE,1712093436
285,mengcheng chengguanzhen,33.2661,116.566,284.54,85,100,4.33,CN,1712093436
286,niamey,13.5137,2.1098,310.31,9,98,2.57,NE,1712093437
287,gdov,58.7406,27.8122,282.09,99,99,4.18,RU,1712093437
288,sikandarpur,26.05,84.05,298.25,19,95,3.95,IN,1712093438
289,karatuzskoye,53.6072,92.8667,275.58,94,100,0.45,RU,1712093438
290,mirnyy,62.5353,113.9611,267.27,92,94,4.72,RU,1712093439
291,afaahiti,-17.75,-149.2833,302.08,76,64,8.32,PF,1712093439
292,suances,43.4334,-4.0434,290.36,55,40,3.09,ES,1712093439
293,fonte boa,-2.4959,-66.2662,300.6,87,84,0.82,BR,1712093440
294,staraya russa,57.9944,31.3608,282.58,90,100,3.03,RU,1712093440
295,melekeok village,7.4957,134.6367,299.46,94,75,3.09,PW,1712093441
296,bubaque,11.2833,-15.8333,297.89,73,8,9.49,GW,1712093441
297,shady hollow,30.1649,-97.8622,297.1,45,20,5.14,US,1712093442
298,empangeni,-28.762,31.8933,293.76,95,4,1.64,ZA,1712093442
299,maisi,43.0395,41.2621,286.78,65,20,3.07,GE,1712093442
300,monrovia,6.3005,-10.7969,301.02,89,51,3.51,LR,1712093443
301,fort st. john,56.2499,-120.8529,285.09,37,75,11.32,CA,1712093158
302,mazatlan,23.2167,-106.4167,301.13,46,20,5.66,MX,1712093174
303,hamilton,39.1834,-84.5333,296.5,79,100,6.69,US,1712093222
304,stanley,54.868,-1.6985,280.92,96,40,1.03,GB,1712093445
305,lospalos,-8.5186,127.0025,295.8,90,100,0.32,TL,1712093177
306,meadow lakes,61.6247,-149.6011,270.68,70,100,1.54,US,1712093445
307,walvis bay,-22.9575,14.5053,288.76,88,1,2.06,NA,1712093446
308,hammerfest,70.6634,23.6821,266.4,86,75,2.06,NO,1712093446
309,kerikeri,-35.2268,173.9474,293.11,55,5,0.5,NZ,1712093447
310,mawu,29.5923,107.3139,288.79,97,89,0.92,CN,1712093447
311,nemuro,43.3236,145.575,274.28,68,1,2.88,JP,1712093448
312,sanluri,39.5611,8.8994,286.18,70,100,0.63,IT,1712093448
313,praia da vitoria,38.7333,-27.0667,290.29,82,40,8.24,PT,1712093449
314,sao felix do xingu,-6.6447,-51.995,299.39,96,88,0.3,BR,1712093330
315,harper,4.375,-7.7169,300.99,89,44,2.67,LR,1712093449
316,galle,6.0367,80.217,299.58,85,96,2.44,LK,1712093450
317,nar'yan-mar,67.6713,53.087,253.21,93,5,3.58,RU,1712093450
318,christchurch,-43.5333,172.6333,287.26,83,84,5.66,NZ,1712093167
319,fortuna,40.5982,-124.1573,288.9,94,100,6.17,US,1712093451
320,strezhevoy,60.7333,77.5889,273.13,98,100,1.79,RU,1712093152
321,tomatlan,19.9333,-105.25,306.65,27,84,6.5,MX,1712093452
322,khorixas,-20.3667,14.9667,296.24,50,90,1.78,NA,1712093452
323,port blair,11.6667,92.75,298.17,94,26,1.03,IN,1712093345
324,half moon,34.826,-77.4594,302.72,58,40,5.14,US,1712093453
325,altinekin,38.3078,32.8686,287.46,31,100,2.58,TR,1712093454
326,quatre cocos,-20.2078,57.7625,299.21,78,100,8.23,MU,1712093454
327,la sarre,48.8002,-79.1996,275.57,66,24,6.01,CA,1712093211
328,afif,23.9065,42.9172,289.84,78,56,6.63,SA,1712093455
329,verkhneyarkeyevo,55.4505,54.3145,278.99,82,31,6.59,RU,1712093455
330,tabas,33.5959,56.9244,288.37,28,2,1.28,IR,1712093456
331,tosontsengel,48.7567,98.2839,262.13,91,45,1.08,MN,1712093456
332,puerto lempira,15.2667,-83.7667,302.23,70,20,4.63,HN,1712093170
333,quellon,-43.1167,-73.6167,282.14,82,99,7.04,CL,1712093458
334,howard springs,-12.497,131.047,299.1,91,89,3.13,AU,1712093458
335,kruisfontein,-34.0033,24.7314,288.09,86,56,3.73,ZA,1712093459
336,fukuecho,32.6881,128.8419,291.71,98,100,8.97,JP,1712093459
337,vorgashor,67.5833,63.95,256.52,91,100,8.64,RU,1712093459
338,general roca,-39.0333,-67.5833,295.16,37,100,15.18,AR,1712093421
339,katima mulilo,-17.5,24.2667,296.67,53,96,2.29,NA,1712093460
340,mugia,43.1041,-9.2179,287.54,92,28,9.17,ES,1712093461
341,weining,26.85,104.2333,284.31,84,6,2.65,CN,1712093461
342,necochea,-38.5473,-58.7368,292.18,44,100,7.98,AR,1712093462
343,floresti,47.8933,28.3014,283.89,57,44,7.63,MD,1712093462
344,puerto san jose,13.9256,-90.8244,304.11,60,1,5.67,GT,1712093463
345,byron bay,-28.65,153.6167,295.77,83,10,2.99,AU,1712093168
346,farmington,36.7281,-108.2187,288.79,21,0,5.14,US,1712093183
347,vodnyy,63.5046,53.4095,262.27,98,82,1.66,RU,1712093464
348,springbok,-29.6643,17.8865,293.21,27,21,3.19,ZA,1712093464
349,kailua-kona,19.6406,-155.9956,300.13,78,0,4.63,US,1712093323
350,opuwo,-18.0607,13.84,294.0,59,41,1.42,NA,1712093465
351,kavieng,-2.5744,150.7967,301.73,76,100,4.91,PG,1712093466
352,jackson,42.4165,-122.8345,298.35,46,0,1.79,US,1712093282
353,madera,37.1666,-119.8343,298.28,48,0,1.78,US,1712093467
